epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9025,1.03603,1696.06,0.72906,0,0,0,0,0,0,0,4e-05,4e-05,4e-05
2,50.4092,1.02193,1366.96,1.31035,0,0,0,0,0,0,0,9.901e-05,9.901e-05,9.901e-05
3,71.9836,0,1698.09,0,0,0,0,0,0,0,0,0.000156832,0.000156832,0.000156832
4,93.2745,1.14037,1191.52,1.20013,0,0,0,0,0,0,0,0.000213466,0.000213466,0.000213466
5,115.054,1.21508,1322.57,1.76396,0,0,0,0,0,0,0,0.000268912,0.000268912,0.000268912
