epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0749,3.45118,39.3624,3.34574,0,0,0,0,3.00297,23.7555,3.38524,8e-05,8e-05,8e-05
2,124.449,3.56258,35.7097,3.37904,0,0,0,0,3.08835,26.7786,3.46973,0.000176436,0.000176436,0.000176436
3,180.628,3.58841,32.0534,3.51919,0.00167,0.05263,0.00096,0.0001,2.51759,15.1762,2.93636,0.000268912,0.000268912,0.000268912
4,234.591,2.033,14.7695,2.20035,0.14372,0.15789,0.04087,0.0274,1.43804,9.06619,1.95943,0.000357428,0.000357428,0.000357428
5,288.924,1.37163,9.54922,1.52982,0.90342,0.15789,0.15712,0.11334,1.48629,8.7567,1.92423,0.000441984,0.000441984,0.000441984
